open_time,open,high,low,close,volume
2025-11-08,103339.09000000,103406.22000000,101454.00000000,102312.94000000,12390.77985000
2025-11-09,102312.95000000,105495.62000000,101400.00000000,104722.96000000,16338.97096000
2025-11-10,104722.95000000,106670.11000000,104265.02000000,106011.13000000,22682.25673000
2025-11-11,106011.13000000,107500.00000000,102476.09000000,103058.99000000,24196.50718000
2025-11-12,103059.00000000,105333.33000000,100813.59000000,101654.37000000,20457.63906000
2025-11-13,101654.37000000,104085.01000000,98000.40000000,99692.02000000,36198.50771000
2025-11-14,99692.03000000,99866.02000000,94012.45000000,94594.00000000,47288.14481000
2025-11-15,94594.00000000,96846.68000000,94558.49000000,95596.24000000,15110.89391000
2025-11-16,95596.23000000,96635.11000000,93005.55000000,94261.44000000,23889.40510000
2025-11-17,94261.45000000,96043.00000000,91220.00000000,92215.14000000,39218.59806000
2025-11-18,92215.14000000,93836.01000000,89253.78000000,92960.83000000,39835.14769000
2025-11-19,92960.83000000,92980.22000000,88608.00000000,91554.96000000,32286.63760000
2025-11-20,91554.96000000,93160.00000000,86100.00000000,86637.23000000,39733.19073000
2025-11-21,86637.22000000,87498.94000000,80600.00000000,85129.43000000,72256.12679000
2025-11-22,85129.42000000,85620.00000000,83500.00000000,84739.74000000,14193.93263000
2025-11-23,84739.75000000,88127.64000000,84667.57000000,86830.00000000,19734.46418000
2025-11-24,86830.00000000,89228.00000000,85272.00000000,88300.01000000,24663.12795000
2025-11-25,88300.01000000,88519.99000000,86116.00000000,87369.96000000,19567.04110000
2025-11-26,87369.97000000,90656.08000000,86306.77000000,90484.02000000,21675.82239000
2025-11-27,90484.01000000,91950.00000000,90089.91000000,91333.95000000,16833.50932000
2025-11-28,91333.94000000,93092.00000000,90180.63000000,90890.70000000,18830.86012000
2025-11-29,90890.71000000,91165.65000000,90155.47000000,90802.44000000,7429.88291000
2025-11-30,90802.44000000,92000.01000000,90336.90000000,90360.00000000,9687.74175000
2025-12-01,90360.01000000,90417.00000000,83822.76000000,86286.01000000,34509.01227000
2025-12-02,86286.01000000,92307.65000000,86184.39000000,91277.88000000,28210.22732000
2025-12-03,91277.88000000,94150.00000000,90990.23000000,93429.95000000,25712.52585000
2025-12-04,93429.95000000,94080.00000000,90889.00000000,92078.06000000,19803.94059000
